file	num_pairs	val1_min	val1_avg	val1_std	val1_max	val2_min	val2_avg	val2_std	val2_max
HG00146_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24043149	0	7084.90	15793.17	1467808	0	7102.35	15785.87	1467814
HG00146_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21276330	0	7492.64	16440.34	1315905	0	7509.95	16433.02	1315903
HG00232_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20182705	0	7531.63	16671.55	1234541	0	7550.26	16663.73	1234544
HG00232_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	27782605	0	7102.10	15735.24	4228509	0	7119.78	15727.82	4228521
HG00235_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23140707	0	6874.33	15762.45	1615169	0	6892.45	15755.06	1615170
HG00235_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	16779897	0	7280.70	16068.47	986416	0	7298.99	16060.70	986422
HG00253_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24884465	0	6983.70	15005.35	1663619	0	7001.30	14997.80	1663620
HG00253_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20357669	0	7356.29	16267.34	1220595	0	7374.72	16259.62	1220599
HG00272_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	30112478	0	7399.62	16746.08	4624109	0	7418.17	16738.39	4624101
HG00272_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22149418	0	7332.21	16365.24	4624101	0	7350.60	16357.50	4624109
HG00280_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24178263	0	7209.38	15811.10	2124821	0	7227.40	15803.45	2124816
HG00280_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19374862	0	7248.77	16896.68	1664885	0	7266.50	16889.60	1664882
HG00290_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	17566678	0	7385.77	16444.92	4987352	0	7404.24	16437.21	4987350
HG00290_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20693503	0	7086.26	15547.29	1847824	0	7105.25	15539.22	1847838
HG00320_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22196051	0	7167.31	15984.16	2192742	0	7184.86	15976.83	2192741
HG00320_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22925171	0	7443.87	16898.51	2884569	0	7461.41	16891.32	2884563
HG00321_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19555937	0	7271.80	16515.97	3347338	0	7289.94	16508.59	3347341
HG00321_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22070574	0	7376.74	16265.61	1805285	0	7395.53	16257.73	1805270
HG00323_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20778623	0	7394.65	16608.34	2420832	0	7413.49	16600.56	2420836
HG00323_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26297766	0	7188.14	16521.26	2708448	0	7206.40	16513.87	2708448
HG00329_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22929953	0	6979.38	15506.47	1046326	0	6998.83	15498.33	1046340
HG00329_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22373226	0	7213.24	16435.21	1418905	0	7232.10	16427.51	1418910
HG00344_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22900752	0	7070.84	15523.30	1327315	0	7087.44	15516.27	1327321
HG00344_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23194175	0	7099.81	16060.68	1372600	0	7118.11	16053.17	1372606
HG00350_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21460011	0	7258.46	16310.21	1734793	0	7276.63	16302.68	1734800
HG00350_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24977845	0	7215.21	15924.38	1155191	0	7233.07	15916.88	1155190
HG00408_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	18436777	0	7119.35	16036.37	1018282	0	7137.30	16029.06	1018270
HG00408_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22822509	0	7356.68	16460.92	1056979	0	7375.80	16453.07	1056978
HG00423_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21076981	0	7559.16	16789.17	1072840	0	7577.27	16781.68	1072847
HG00423_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23047486	0	7295.54	16284.03	1058957	0	7314.11	16276.42	1058952
HG00438_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21984357	0	6961.39	15891.13	1804347	0	6979.87	15883.69	1804331
HG00438_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24934912	0	7251.63	16081.92	1243104	0	7270.24	16074.19	1243101
HG00544_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20052191	0	7306.07	16287.33	793053	0	7324.66	16279.71	793071
HG00544_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23736425	0	7195.41	16129.26	1020614	0	7214.03	16121.68	1020625
HG00558_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21406642	0	7542.87	17222.54	1174896	0	7562.16	17214.68	1174894
HG00558_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24031592	0	7526.13	16510.31	724401	0	7543.81	16502.85	724387
HG00597_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25545368	0	7538.02	17089.68	1500698	0	7556.48	17082.19	1500711
HG00597_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20088892	0	7311.26	16935.30	888901	0	7329.42	16928.10	888907
HG005_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22431332	0	7076.27	15752.00	983978	0	7094.54	15744.47	983993
HG005_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22542513	0	7085.33	16408.58	1353691	0	7105.49	16400.58	1353707
HG00609_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	27463981	0	7253.93	15969.11	1731644	0	7272.34	15961.44	1731645
HG00609_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23599770	0	7135.80	15931.33	1405658	0	7154.82	15923.58	1405651
HG00621_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	18076083	0	7630.64	17470.26	1869715	0	7649.13	17462.83	1869728
HG00621_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19695049	0	7184.63	15708.00	754981	0	7203.32	15700.16	754975
HG00639_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	27006623	0	7092.49	15371.25	2985738	0	7108.41	15364.42	2985731
HG00639_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24677548	0	7163.27	15760.17	2734495	0	7181.90	15752.28	2734511
HG00642_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21112443	0	7094.25	15808.35	3662913	0	7112.62	15800.77	3662923
HG00642_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24877168	0	6902.04	15902.44	2828475	0	6920.98	15894.88	2828491
HG00658_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22911803	0	7464.93	17104.90	1564131	0	7483.48	17097.39	1564120
HG00658_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23662616	0	7133.58	15696.37	1255501	0	7151.38	15688.91	1255512
HG00673_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21561314	0	7248.33	16528.54	890329	0	7267.35	16520.89	890333
HG00673_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21443533	0	7022.67	15902.66	1387677	0	7040.23	15895.52	1387676
HG00706_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19822950	0	7539.15	17211.33	773708	0	7557.16	17204.10	773699
HG00706_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21332309	0	6924.54	16248.41	895508	0	6943.48	16241.03	895512
HG00733_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	28901574	0	7310.85	16562.73	12036194	0	7328.59	16555.37	12036187
HG00733_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25816956	0	7200.91	15946.09	2757729	0	7218.56	15938.58	2757715
HG00735_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20851891	0	7372.06	16159.42	2087534	0	7391.08	16151.38	2087523
HG00735_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20588831	0	7110.75	15478.28	1508647	0	7128.12	15470.95	1508640
HG00738_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22777169	0	7105.66	15876.47	2550364	0	7124.23	15868.78	2550361
HG00738_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24487396	0	7223.13	16077.98	3135375	0	7241.67	16070.31	3135371
HG00741_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21964233	0	7232.73	15990.98	3186387	0	7250.56	15983.54	3186375
HG00741_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	18091713	0	7274.31	15996.94	3155280	0	7292.86	15989.13	3155266
HG01071_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19974252	0	7153.80	15916.92	5071697	0	7172.04	15909.30	5071700
HG01071_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21035319	0	7257.05	16597.38	8238349	0	7275.62	16589.81	8238338
HG01074_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25396806	0	7586.20	17006.02	4339888	0	7604.57	16998.31	4339890
HG01074_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20496142	0	7192.98	16104.44	3058179	0	7211.09	16096.90	3058160
HG01081_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19330898	0	7273.05	15668.78	2901974	0	7290.81	15661.11	2901962
HG01081_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21963201	0	7377.06	16010.05	5278700	0	7394.15	16002.69	5278706
HG01099_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24810589	0	7119.47	15744.15	2326003	0	7137.25	15736.73	2326016
HG01099_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26672191	0	7098.10	15545.95	1336893	0	7115.68	15538.55	1336885
HG01106_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22379591	0	7369.38	15507.32	1391654	0	7386.23	15499.94	1391662
HG01106_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21143631	0	7003.44	15139.08	2515259	0	7022.55	15130.93	2515271
HG01109_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22791394	0	6580.14	13527.41	2134905	0	6597.34	13519.67	2134894
HG01109_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	17634594	0	6698.86	14470.13	3753999	0	6717.65	14462.10	3753999
HG01123_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19116749	0	7347.61	16325.58	1321564	0	7365.24	16318.15	1321565
HG01123_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23286226	0	7232.06	16142.54	1302773	0	7249.48	16135.30	1302771
HG01150_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26203207	0	7232.25	15869.63	1030488	0	7251.14	15861.59	1030503
HG01150_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20104001	0	6951.31	15327.41	3289870	0	6968.35	15320.21	3289862
HG01167_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	27937161	0	6998.47	15242.18	3803668	0	7017.01	15234.30	3803666
HG01167_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19221121	0	6828.75	15103.51	2562928	0	6847.88	15095.49	2562918
HG01175_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20421369	0	7466.34	17308.12	3867692	0	7485.36	17300.52	3867718
HG01175_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24589793	0	7183.53	15720.29	2014544	0	7201.72	15712.61	2014552
HG01192_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23785452	0	7473.78	16656.19	4640947	0	7490.92	16649.05	4640925
HG01192_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19778581	0	6879.54	15626.52	2892635	0	6900.06	15618.15	2892617
HG01243_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24852653	0	6771.18	13489.66	1924690	0	6787.47	13482.13	1924692
HG01243_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	27939992	0	6557.63	13393.40	1106601	0	6575.68	13385.30	1106603
HG01252_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	17998684	0	7485.61	16542.31	2646669	0	7504.16	16534.42	2646665
HG01252_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20592552	0	7178.01	15874.94	3106598	0	7198.03	15866.48	3106605
HG01255_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19829588	0	7214.77	15627.25	1721803	0	7233.09	15619.44	1721809
HG01255_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22151986	0	7059.55	15563.15	3424888	0	7077.43	15555.68	3424894
HG01258_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20401549	0	7347.93	16171.25	3158580	0	7366.87	16163.26	3158598
HG01258_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20314343	0	6983.91	15644.76	2532660	0	7001.96	15637.28	2532664
HG01261_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20257582	0	7401.45	15863.58	2432464	0	7419.92	15855.57	2432477
HG01261_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	14587275	0	7095.24	16071.98	5374449	0	7113.17	16064.66	5374442
HG01346_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24037591	0	7395.48	16312.82	2880127	0	7413.66	16305.20	2880136
HG01346_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	15377792	0	7372.17	16609.75	1403805	0	7390.75	16602.11	1403816
HG01358_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26625345	0	7349.16	16348.62	4661544	0	7368.39	16340.57	4661560
HG01358_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22184828	0	7172.16	15714.55	3596044	0	7191.03	15706.53	3596028
HG01361_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23295785	0	7208.38	16261.83	2299634	0	7226.69	16254.30	2299638
HG01361_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21989637	0	7237.77	16129.03	1672844	0	7256.27	16121.30	1672839
HG01433_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21151040	0	7331.17	16153.76	3050720	0	7348.84	16146.39	3050715
HG01433_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20496378	0	6901.50	15185.22	3511195	0	6920.43	15177.33	3511210
HG01496_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20244502	0	7067.79	15405.95	3621907	0	7085.93	15398.25	3621891
HG01496_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21098450	0	7500.16	16958.78	3201147	0	7518.23	16951.35	3201161
HG01530_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20169687	0	7171.13	15897.76	1483939	0	7190.28	15889.69	1483941
HG01530_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23394027	0	7181.17	16351.15	1150154	0	7198.51	16344.04	1150167
HG01784_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24698065	0	7432.10	16008.39	1103103	0	7450.09	16000.63	1103089
HG01784_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19201525	0	6997.14	15907.61	1315411	0	7017.00	15899.49	1315413
HG01786_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21323681	0	7193.66	15806.31	1285379	0	7212.46	15798.37	1285372
HG01786_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22703132	0	7261.91	15893.71	1154586	0	7278.96	15886.49	1154582
HG01884_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19688892	0	6385.48	12112.74	1116720	0	6404.36	12103.52	1116719
HG01884_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19877790	0	6607.96	12152.59	1148254	0	6624.14	12144.44	1148257
HG01891_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25154064	0	6167.34	11721.58	1176153	0	6183.38	11713.80	1176164
HG01891_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22578385	0	6475.05	12366.84	1623009	0	6491.90	12358.70	1623014
HG01928_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22742137	0	7260.90	16033.79	957147	0	7280.12	16025.73	957137
HG01928_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20915094	0	6941.36	16350.32	975951	0	6960.16	16342.92	975954
HG01934_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19791281	0	7312.89	16230.62	1757256	0	7331.18	16223.10	1757259
HG01934_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	30207872	0	7247.66	16398.99	1973383	0	7265.00	16392.00	1973392
HG01940_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	17026858	0	7154.49	16720.89	1258213	0	7172.98	16713.47	1258208
HG01940_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22316485	0	7148.31	16268.12	1134386	0	7166.87	16260.54	1134379
HG01943_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20366718	0	7356.93	16578.61	956371	0	7374.84	16571.25	956360
HG01943_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	16950907	0	7159.12	16924.81	1207392	0	7177.78	16917.46	1207389
HG01952_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21849851	0	7260.29	16743.75	1722756	0	7278.24	16736.57	1722761
HG01952_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20054723	0	6780.76	15282.55	981450	0	6800.89	15274.35	981445
HG01960_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	28042277	0	6539.95	12684.97	2692631	0	6557.09	12676.82	2692629
HG01960_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24328480	0	6534.64	13266.71	1474962	0	6550.73	13259.37	1474954
HG01969_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21870656	0	7416.35	17283.47	1038148	0	7435.36	17275.87	1038142
HG01969_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25894054	0	6866.75	16770.90	1678572	0	6884.46	16764.16	1678570
HG01975_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22015478	0	7346.99	16923.09	1040026	0	7364.79	16915.91	1040024
HG01975_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	30899822	0	6694.20	15512.25	1995241	0	6711.59	15505.33	1995229
HG01978_mat_hprc_r2_v1.1.0.merged.edit-distance.32.tp.paf	28984353	0	7371.98	16681.46	1201684	0	7391.08	16673.57	1201677
HG01978_pat_hprc_r2_v1.1.0.merged.edit-distance.32.tp.paf	16279466	0	7311.43	16435.46	1820255	0	7329.78	16427.87	1820258
HG01981_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22511545	0	7080.21	15584.14	1036194	0	7099.12	15576.34	1036215
HG01981_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21014634	0	7394.48	16675.72	1451606	0	7411.59	16668.86	1451606
HG01993_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23027380	0	7270.67	17463.14	1175721	0	7288.50	17456.25	1175699
HG01993_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19522423	0	7491.20	16769.75	1156117	0	7509.87	16762.01	1156119
HG02004_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23732565	0	7592.93	17461.84	1532766	0	7611.03	17454.54	1532758
HG02004_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24490882	0	7487.29	16716.81	1066015	0	7505.76	16709.13	1066022
HG02015_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19200801	0	7305.98	16331.28	1330202	0	7323.20	16324.18	1330199
HG02015_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20145281	0	7336.23	16470.55	1170553	0	7355.53	16462.62	1170575
HG02027_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24281320	0	7258.15	16093.79	1851406	0	7276.75	16086.11	1851408
HG02027_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19930655	0	7397.15	16618.57	989169	0	7416.67	16610.58	989156
HG02040_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	18760284	0	7247.28	16054.77	1034211	0	7265.56	16047.10	1034221
HG02040_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25400122	0	7100.46	15952.17	1243978	0	7119.68	15944.24	1243981
HG02055_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21053437	0	6558.01	12582.67	1673352	0	6576.78	12573.66	1673353
HG02055_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25030937	0	6472.91	12106.53	1208190	0	6489.50	12098.32	1208185
HG02056_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25523077	0	7079.93	16153.29	1394271	0	7097.04	16146.47	1394280
HG02056_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22776058	0	7132.89	15900.05	1391516	0	7152.00	15892.22	1391512
HG02071_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	25984652	0	7197.49	16249.30	950748	0	7216.20	16241.70	950758
HG02071_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	18169917	0	6649.07	14238.27	933938	0	6668.25	14230.12	933948
HG02074_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22628281	0	6999.38	16412.95	2174906	0	7018.31	16405.53	2174906
HG02074_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23621798	0	7372.99	16659.80	2002341	0	7392.74	16651.74	2002339
HG02080_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21380062	0	7290.45	16420.42	1561753	0	7307.99	16413.26	1561726
HG02080_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24247550	0	7144.73	15768.93	1413542	0	7162.88	15761.37	1413549
HG02083_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20048041	0	7351.19	16506.89	1585044	0	7370.14	16499.11	1585047
HG02083_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20980538	0	7333.58	16497.43	3267246	0	7353.45	16489.30	3267251
HG02109_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	29766190	0	6784.78	12933.67	1419910	0	6802.60	12925.01	1419915
HG02109_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	28393770	0	6336.51	11932.59	1962832	0	6353.52	11924.27	1962836
HG02129_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26036642	0	7159.24	16090.82	1530653	0	7178.49	16082.90	1530647
HG02129_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23949404	0	7155.24	15695.60	829924	0	7172.84	15688.23	829923
HG02132_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	17429400	0	7358.59	16087.17	2648194	0	7376.12	16079.75	2648193
HG02132_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24655691	0	7071.22	15551.85	1574684	0	7090.29	15543.85	1574679
HG02135_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23458178	0	7262.01	16530.41	2041709	0	7279.92	16523.19	2041719
HG02135_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22842182	0	7359.78	16579.48	1142726	0	7379.37	16571.51	1142748
HG02145_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	26639033	0	6549.31	12141.25	1264458	0	6567.68	12132.14	1264456
HG02145_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20043890	0	6490.91	12590.73	1325289	0	6508.58	12582.35	1325288
HG02148_mat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	20079744	0	7258.20	16627.21	991442	0	7275.15	16620.41	991446
HG02148_pat_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	23765767	0	7458.22	17201.25	2683454	0	7476.98	17193.76	2683443
HG02155_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	21057809	0	7278.39	16518.10	1449544	0	7297.24	16510.44	1449533
HG02155_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	19926509	0	7190.06	16403.83	1125903	0	7207.73	16396.69	1125903
HG02165_hap1_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	22892122	0	7453.69	16666.69	1718818	0	7471.46	16659.33	1718819
HG02165_hap2_hprc_r2_v1.0.1.merged.edit-distance.32.tp.paf	24332709	0	7380.40	16342.01	1510770	0	7398.72	16334.32	1510790
